Country,Call Type,"Flagfall
(Exc. GST)","Rate
(Exc. GST)"
New Zealand,0900 Premium 299,,$5.00
,Directory,$0.86,$1.00
,Emergency,,$0.00
,Inbound,,$0.00
,Fixed,,$0.10
,Int Directory,$2.50,$1.00
,Local,,$0.10
,Mobile,,$0.20
,MsgExchange,,$0.00
,Service Call,,$0.00
,Inbound TollFree from Mobile,,$0.20
,Tollfree,,$0.00
,Inbound TollFree from Fixed,,$0.10
,TollFree Mobile,,$0.00
Australia,Outbound 6113,$0.60,$0.00
,Inbound 6113,,$0.20
,Inbound 611800,,$0.20
,Emergency,,$0.00
,Fixed,,$0.10
,Mobile,,$0.20
Afghanistan,Fixed,,$0.70
,Mobile,,$0.93
Albania,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Algeria,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Andorra,Fixed,,$0.05
,Mobile,,$0.59
Angola,Fixed,,$0.17
,Mobile,,$0.93
Anguilla,Fixed,,$0.70
,Mobile,,$0.93
Antarctica,Fixed,,$3.42
,Mobile,,$3.42
Antigua & Barbuda,Fixed,,$1.24
,Mobile,,$0.93
Argentina,Fixed,,$0.08
,Mobile,,$0.23
Armenia,Fixed,,$0.93
,Mobile,,$0.70
Aruba,Fixed,,$0.36
,Mobile,,$0.70
Ascension Island,Fixed,,$2.84
,Mobile,,$2.05
Austria,Fixed,,$0.36
,Mobile,,$0.93
Azerbaijan,Fixed,,$0.70
,Mobile,,$0.93
Bahamas,Fixed,,$1.24
,Mobile,,$0.59
Bahrain,Fixed,,$0.36
,Mobile,,$0.47
Bangladesh,Fixed,,$0.09
,Mobile,,$0.09
Barbados,Fixed,,$0.59
,Mobile,,$0.70
Belarus,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Belgium,Fixed,,$0.36
,Mobile,,$1.29
Belize,Fixed,,$0.70
,Mobile,,$0.93
Benin,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Bermuda,Fixed,,$0.09
,Mobile,,$0.16
Bhutan,Fixed,,$0.23
,Mobile,,$0.23
Bolivia,Fixed,,$0.70
,Mobile,,$0.59
Bosnia Herzegovina,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Botswana,Fixed,,$0.78
,Mobile,,$0.70
Brazil,Fixed,,$0.08
,Mobile,,$0.09
British Virgin Islands,Fixed,,$1.24
,Mobile,,$0.93
Brunei,Fixed,,$0.31
,Mobile,,$0.09
Bulgaria,Fixed,,$0.05
,Mobile,,$0.93
Burkina Faso,Fixed,,$0.93
,Mobile,,$1.29
Burundi,Fixed,,$1.55
,Mobile,,$1.55
Cambodia,Fixed,,$0.23
,Mobile,,$0.23
Cameroon,Fixed,,$1.41
,Mobile,,$0.93
Canada,Fixed,,$0.03
,Mobile,,$0.03
Cape Verde,Fixed,,$0.59
,Mobile,,$0.93
Cayman Islands,Fixed,,$0.62
,Mobile,,$0.59
Central African Republic,Fixed,,$2.33
,Mobile,,$2.33
Chad,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Chile,Fixed,,$0.08
,Mobile,,$0.17
China,Fixed,,$0.08
,Mobile,,$0.08
Christmas Is,Fixed,,$1.02
,Mobile,,$1.02
Colombia,Fixed,,$0.17
,Mobile,,$0.09
Comoros,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Congo,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Cook Islands,Fixed,,$2.17
,Mobile,,$1.54
Costa Rica,Fixed,,$0.08
,Mobile,,$0.23
Croatia,Fixed,,$0.23
,Mobile,,$0.93
Cuba,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Cyprus,Fixed,,$0.23
,Mobile,,$0.36
Czech Republic,Fixed,,$0.08
,Mobile,,$0.36
Denmark,Fixed,,$0.05
,Mobile,,$0.05
Diego Garcia,Fixed,,$2.59
,Mobile,,$3.42
Djibouti,Fixed,,$0.93
,Mobile,,$0.93
Dominica,Fixed,,$0.70
,Mobile,,$0.93
Dominican Republic,Fixed,,$0.31
,Mobile,,$0.47
East Timor,Fixed,,$0.93
,Mobile,,$0.93
Ecuador,* Fixed (Route Disabled),,
,Mobile,,$0.70
Egypt,Fixed,,$0.36
,Mobile,,$0.47
El Salvador,Fixed,,$0.47
,Mobile,,$0.59
Equatorial Guinea,Fixed,,$1.55
,Mobile,,$1.99
Eritrea,Fixed,,$0.70
,Mobile,,$0.85
Estonia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Ethiopia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Faeroe Island,Fixed,,$0.17
,Mobile,,$0.59
Falkland Islands,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Fiji,Fixed,,$0.78
,Mobile,,$0.78
Finland,Fixed,,$1.29
,Mobile,,$1.29
France,Fixed,,$0.05
,Mobile,,$0.23
French Polynesia,Fixed,,$0.59
,Mobile,,$0.93
FYR of Macedonia,Fixed,,$0.59
,Mobile,,$0.93
Gabon,Fixed,,$0.93
,Mobile,,$1.55
Gambia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Georgia,Fixed,,$0.59
,Mobile,,$0.93
Germany,Fixed,,$0.05
,Mobile,,$0.78
Ghana,Fixed,,$0.93
,Mobile,,$0.93
Gibraltar,Fixed,,$0.12
,Mobile,,$0.47
Global,* Mobile (Route Disabled),,
Greece,Fixed,,$0.08
,Mobile,,$0.23
Greenland,Fixed,,$0.93
,Mobile,,$1.29
Grenada,Fixed,,$1.24
,Mobile,,$0.70
Guadeloupe (French),Fixed,,$0.05
,Mobile,,$0.36
Guam,Fixed,,$0.05
,Mobile,,$0.05
Guatemala,Fixed,,$0.47
,Mobile,,$0.47
Guiana (French),Fixed,,$0.05
,Mobile,,$1.24
Guinea Bissau,Fixed,,$2.10
,Mobile,,$2.76
Guinea Republic,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Guyana,Fixed,,$0.70
GUYANA,Mobile,,$0.93
Haiti,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Honduras,Fixed,,$0.47
,Mobile,,$0.59
Hong Kong,Fixed,,$0.14
,Mobile,,$0.14
Hungary,Fixed,,$0.17
,Mobile,,$0.23
Iceland,Fixed,,$0.05
,Mobile,,$0.08
India,Fixed,,$0.05
,Mobile,,$0.05
